Timestamp,Speed_KMH,Throttle,Brake,Steer,Gap,Status
1773472432.902,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472432.975,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.046,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.121,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.189,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.255,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.325,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.401,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.474,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.543,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.618,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.688,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.754,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.818,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.891,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472433.963,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.032,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.099,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.172,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.242,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.313,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.381,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.449,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.520,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.589,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.658,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.732,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.807,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.887,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472434.958,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.029,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.102,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.172,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.237,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.307,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.377,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.452,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.518,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.587,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.654,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.719,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.787,0.01,0.00,1.00,0.03,50.0,RED LIGHT
